subject_area,subj_code,title,number,section_ids
Aerospace Studies,AERO ST,Air Force Leadership Studies,130A,{5864046}
Aerospace Studies,AERO ST,Air Force Leadership Studies,130B,{3109}
Aerospace Studies,AERO ST,Heritage and Values,1A,"{5861351,5861308}"
Aerospace Studies,AERO ST,Heritage and Values,1B,"{7,8}"
Aerospace Studies,AERO ST,Individual Studies in Aerospace Studies,197,"{5860748,5860831}"
Aerospace Studies,AERO ST,Leadership Laboratory,A,"{5861322,4992}"
Aerospace Studies,AERO ST,National Security Affairs/Preparation for Active Duty,140A,{5868211}
Aerospace Studies,AERO ST,National Security Affairs/Preparation for Active Duty,140B,{3276}
Aerospace Studies,AERO ST,Team and Leadership Fundamentals,20A,"{5864131,5864080}"
Aerospace Studies,AERO ST,Team and Leadership Fundamentals,20B,"{3172,1955}"
African American Studies,AF AMER,African American Literature from Harlem Renaissance to 1960s,M104B,{1537}
African American Studies,AF AMER,African American Literature of 1960s and 1970s,M104C,{5860611}
African American Studies,AF AMER,African American Musical Heritage,M12A,{684}
African American Studies,AF AMER,African American Theater History: Slavery to Mid-1800s,M103A,{2079}
African American Studies,AF AMER,Borders and Black Bodies,19,{2242}
African American Studies,AF AMER,"Culture, Communications, and Human Development Research Group Seminars",M194C,{5866355}
African American Studies,AF AMER,"Culture, Gender, and Human Development Research Group Seminars",M194B,{5866993}
African American Studies,AF AMER,Early African American Literature,M104A,{5865378}
African American Studies,AF AMER,Elementary Amharic,M9A,{5860583}
African American Studies,AF AMER,Elementary Amharic,M9B,{2626}
African American Studies,AF AMER,Elementary Yoruba,M7A,{5863052}
African American Studies,AF AMER,Elementary Yoruba,M7B,{2733}
African American Studies,AF AMER,Ellingtonia,M111,{5863439}
African American Studies,AF AMER,History of Africa to 1800,M10A,{1645}
African American Studies,AF AMER,Honors Research in Afro-American Studies,198,{23}
African American Studies,AF AMER,Individual Studies for USIE Facilitators,188SA,{5863604}
African American Studies,AF AMER,Individual Studies for USIE Facilitators,188SB,{2153}
African American Studies,AF AMER,Individual Studies in Afro-American Studies,197,{5860616}
African American Studies,AF AMER,Introduction to Afro-American History,M158B,{541}
African American Studies,AF AMER,Introduction to Black Studies,1,{5861522}
African American Studies,AF AMER,Issues in Pan-African Biography and Autobiography,105B,{5862511}
African American Studies,AF AMER,Leadership and Student-Initiated Retention,M18,{2236}
African American Studies,AF AMER,Political Economy of Race,M200B,{5866360}
African American Studies,AF AMER,"Race, Inequality, and Public Policy",M120,{5864219}
African American Studies,AF AMER,"Research in Black Life, Institutions, and Culture",184A,{1006}
African American Studies,AF AMER,Social Organization of Black Communities,M5,{5865360}
African American Studies,AF AMER,Social Politics of Recent African American Music and Popular Culture,200H,{4073}
African American Studies,AF AMER,Special Courses in African American Studies: Africana Art,188A,{2529}
African American Studies,AF AMER,Special Courses in African American Studies: Black and Migration Literature,188A,{2208}
African American Studies,AF AMER,Special Courses in African American Studies: Black Deejay Culture and Music Migration,188A,"{5864666,5864764}"
African American Studies,AF AMER,Special Courses in African American Studies: Lecture 3  ,188A,"{5865711,1131}"
African American Studies,AF AMER,Special Courses in African American Studies: Lecture 4  ,188A,{5862444}
African American Studies,AF AMER,Special Courses in African American Studies: Lecture 5  ,188A,{5863432}
African American Studies,AF AMER,Special Courses in African American Studies: Race and U.S. Military Intervention in Africa,188A,{33}
African American Studies,AF AMER,"Special Courses in African American Studies: Race, Science, and Western Society",188A,{521}
African American Studies,AF AMER,"Special Courses in African American Studies: Remembering Slavery, Remaking Race",188A,{3135}
African American Studies,AF AMER,Special Courses in African American Studies: Reproducing While Black,188A,{5860625}
